SOURCE	TARGET	WEIGHT
revenir	à	1.78390445562e-05
saurait	être	1.78390445562e-05
à	tort	1.78390445562e-05
temps	berlin	1.77618192551e-05
amp	lt	1.7684593954e-05
tenue	à	1.7684593954e-05
travail	à	1.7684593954e-05
inspecteur	général	1.76073686529e-05
reçu	à	1.76073686529e-05
unifiée	extérieure	1.76073686529e-05
été	donné	1.76073686529e-05
donnée	à	1.75301433518e-05
dt	à	1.75301433518e-05
temps	où	1.75301433518e-05
à	bout	1.75301433518e-05
commencé	à	1.74529180507e-05
ville	do	1.74529180507e-05
à	juin	1.74529180507e-05
face	à	1.73756927496e-05
recettes	balles	1.73756927496e-05
sise	à	1.73756927496e-05
vont	être	1.73756927496e-05
mai	ventes	1.72984674485e-05
prochain	à	1.72984674485e-05
relatifs	à	1.72984674485e-05
réduit	à	1.72984674485e-05
anglais	à	1.72212421473e-05
cafés	santos	1.72212421473e-05
paris	avril	1.72212421473e-05
rente	tunisienne	1.72212421473e-05
à	destination	1.72212421473e-05
été	décidé	1.72212421473e-05
italien	naux	1.71440168462e-05
livrer	à	1.71440168462e-05
porter	à	1.71440168462e-05
prête	à	1.71440168462e-05
très	grand	1.71440168462e-05
à	meule	1.71440168462e-05
à	nouveau	1.71440168462e-05
continuent	à	1.70667915451e-05
cours	officiel	1.70667915451e-05
destinées	à	1.70667915451e-05
déjà	été	1.70667915451e-05
même	où	1.70667915451e-05
ventes	rio	1.70667915451e-05
à	centimes	1.70667915451e-05
beaucoup	à	1.6989566244e-05
berlin	à	1.6989566244e-05
colza	à	1.6989566244e-05
février	mars	1.6989566244e-05
semaine	dernière	1.6989566244e-05
tarif	général	1.6989566244e-05
à	céder	1.6989566244e-05
conduit	à	1.69123409429e-05
derniers	temps	1.69123409429e-05
directeur	général	1.69123409429e-05
peut	faire	1.69123409429e-05
service	havas	1.69123409429e-05
à	juillet	1.69123409429e-05
bas	cours	1.68351156418e-05
donné	hier	1.68351156418e-05
trop	souvent	1.68351156418e-05
actes	officiels	1.67578903407e-05
meule	à	1.67578903407e-05
paris	juillet	1.67578903407e-05
première	partie	1.67578903407e-05
année	à	1.66806650396e-05
italien	marché	1.66806650396e-05
tenu	hier	1.66806650396e-05
contraire	à	1.66034397385e-05
travaux	forcés	1.66034397385e-05
berlin	roux	1.65262144374e-05
juillet	ventes	1.65262144374e-05
louis	xiv	1.65262144374e-05
met	à	1.65262144374e-05
monde	entier	1.65262144374e-05
numéro	lt	1.65262144374e-05
était	venu	1.65262144374e-05
adressée	à	1.64489891363e-05
mois	sucres	1.64489891363e-05
ports	mer	1.64489891363e-05
songer	à	1.64489891363e-05
extérieure	hongrois	1.63717638351e-05
fièvre	typhoïde	1.63717638351e-05
à	août	1.63717638351e-05
à	calais	1.63717638351e-05
public	à	1.6294538534e-05
aller	à	1.62173132329e-05
août	ventes	1.62173132329e-05
vendu	qx	1.62173132329e-05
chose	à	1.61400879318e-05
supérieur	à	1.61400879318e-05
écrit	à	1.61400879318e-05
arrive	à	1.60628626307e-05
banque	marché	1.60628626307e-05
dakar	à	1.60628626307e-05
donné	lecture	1.60628626307e-05
ventes	probables	1.60628626307e-05
cherche	à	1.59856373296e-05
comptant	à	1.59856373296e-05
note	suivante	1.59856373296e-05
roubaix	qualité	1.59856373296e-05
à	ans	1.59856373296e-05
lots	algériens	1.59084120285e-05
venu	à	1.59084120285e-05
dépêche	suivante	1.58311867274e-05
fin	nu	1.58311867274e-05
parti	républicain	1.58311867274e-05
république	argentine	1.58311867274e-05
grandes	maisons	1.57539614263e-05
vienne	à	1.57539614263e-05
visite	à	1.57539614263e-05
marché	à	1.56767361252e-05
à	porter	1.55995108241e-05
ainsi	conçu	1.55222855229e-05
devra	être	1.55222855229e-05
dernier	mot	1.54450602218e-05
droits	à	1.54450602218e-05
prendre	à	1.54450602218e-05
revenu	net	1.54450602218e-05
dû	à	1.53678349207e-05
envoyé	à	1.53678349207e-05
grand	prix	1.53678349207e-05
revient	à	1.53678349207e-05
à	mlle	1.53678349207e-05
à	recevoir	1.53678349207e-05
asturies	galice	1.52906096196e-05
cape	copper	1.52906096196e-05
dernier	cours	1.52906096196e-05
tion	à	1.52906096196e-05
à	mort	1.52906096196e-05
été	assez	1.52906096196e-05
due	à	1.52133843185e-05
tharsis	cape	1.52133843185e-05
