SOURCE	TARGET	WEIGHT	WEIGHT*100000
monté	à	1.99E-05	1.992412769
tribunal	correctionnel	1.99E-05	1.992412769
élevé	à	1.99E-05	1.992412769
cotons	calmes	1.98E-05	1.984690239
maison	à	1.98E-05	1.984690239
à	cylindre	1.98E-05	1.984690239
blés	à	1.98E-05	1.976967708
inscrits	votants	1.98E-05	1.976967708
long	papier	1.98E-05	1.976967708
parti	ouvrier	1.98E-05	1.976967708
point	à	1.98E-05	1.976967708
répondu	à	1.98E-05	1.976967708
à	croire	1.98E-05	1.976967708
comptes	courants	1.97E-05	1.969245178
pourront	être	1.97E-05	1.969245178
à	nice	1.97E-05	1.969245178
dito	raffinés	1.96E-05	1.961522648
nord	fin	1.96E-05	1.961522648
porté	à	1.96E-05	1.961522648
général	à	1.95E-05	1.953800118
prêts	à	1.95E-05	1.953800118
raffinés	à	1.95E-05	1.953800118
monte	à	1.94E-05	1.938355058
seigles	kilos	1.94E-05	1.938355058
été	faites	1.94E-05	1.938355058
contrairement	à	1.93E-05	1.930632528
à	mètres	1.93E-05	1.930632528
été	commis	1.93E-05	1.930632528
revenu	brut	1.92E-05	1.922909998
consiste	à	1.92E-05	1.915187468
pris	à	1.92E-05	1.915187468
tend	à	1.92E-05	1.915187468
faites	à	1.91E-05	1.907464937
pays	à	1.89E-05	1.892019877
pouvoirs	publics	1.89E-05	1.892019877
à	vendre	1.89E-05	1.892019877
attaché	à	1.88E-05	1.884297347
réponse	à	1.88E-05	1.884297347
assemblée	générale	1.88E-05	1.876574817
beers	escompte	1.87E-05	1.868852287
laines	cote	1.87E-05	1.868852287
à	rue	1.87E-05	1.868852287
gouvernement	à	1.86E-05	1.861129757
passe	à	1.86E-05	1.861129757
change	papier	1.85E-05	1.853407227
jours	derniers	1.85E-05	1.853407227
jules	ferry	1.85E-05	1.853407227
là	où	1.85E-05	1.853407227
rendus	à	1.85E-05	1.853407227
commission	chargée	1.85E-05	1.845684697
union	postale	1.85E-05	1.845684697
lyon	à	1.84E-05	1.837962166
ventes	chicago	1.84E-05	1.837962166
adressé	à	1.83E-05	1.830239636
arrivé	hier	1.83E-05	1.830239636
parti	libéral	1.83E-05	1.830239636
prince	napoléon	1.83E-05	1.830239636
supérieure	à	1.83E-05	1.830239636
cotons	ventes	1.82E-05	1.822517106
devront	être	1.82E-05	1.822517106
dito	acquitté	1.82E-05	1.822517106
heures	russe	1.82E-05	1.822517106
république	à	1.82E-05	1.822517106
acquitté	à	1.81E-05	1.814794576
relativement	à	1.81E-05	1.814794576
était	né	1.81E-05	1.814794576
notaire	rue	1.81E-05	1.807072046
rendu	compte	1.81E-05	1.807072046
iles	britanniques	1.80E-05	1.799349516
porte	à	1.80E-05	1.799349516
russe	nouveau	1.80E-05	1.799349516
société	anonyme	1.80E-05	1.799349516
à	rouen	1.80E-05	1.799349516
di	rudini	1.79E-05	1.791626986
à	suivre	1.79E-05	1.791626986
bénéfices	nets	1.78E-05	1.783904456
maintenant	à	1.78E-05	1.783904456
rapport	à	1.78E-05	1.783904456
revenir	à	1.78E-05	1.783904456
saurait	être	1.78E-05	1.783904456
à	tort	1.78E-05	1.783904456
temps	berlin	1.78E-05	1.776181926
amp	lt	1.77E-05	1.768459395
tenue	à	1.77E-05	1.768459395
travail	à	1.77E-05	1.768459395
inspecteur	général	1.76E-05	1.760736865
reçu	à	1.76E-05	1.760736865
unifiée	extérieure	1.76E-05	1.760736865
été	donné	1.76E-05	1.760736865
donnée	à	1.75E-05	1.753014335
dt	à	1.75E-05	1.753014335
temps	où	1.75E-05	1.753014335
à	bout	1.75E-05	1.753014335
commencé	à	1.75E-05	1.745291805
ville	do	1.75E-05	1.745291805
à	juin	1.75E-05	1.745291805
face	à	1.74E-05	1.737569275
recettes	balles	1.74E-05	1.737569275
sise	à	1.74E-05	1.737569275
vont	être	1.74E-05	1.737569275
mai	ventes	1.73E-05	1.729846745
prochain	à	1.73E-05	1.729846745
